Soil,Sample_Type,Treatment,Experimental_Run,Replicate,Phytohormone,Concentration_ng_g
S16,Root,Control,3,1,ABA,0.765384615
S16,Root,Control,3,2,ABA,2.318367347
S16,Root,Control,3,3,ABA,1.026923077
S16,Root,Control,3,5,ABA,0.319215686
S16,Root,Control,3,4,ABA,2.358333333
S16,Root,Control,3,6,ABA,4.791666667
S16,Root,Insect,3,1,ABA,32.90196078
S16,Root,Insect,1,2,ABA,20.62745098
S16,Root,Insect,1,3,ABA,27.83673469
S16,Root,Insect,1,4,ABA,14.88461538
S16,Root,Insect,1,5,ABA,49.79591837
S16,Root,Insect,1,6,ABA,38.375
S16,Root,Insect,1,7,ABA,49.23076923
S16,Root,Insect,1,8,ABA,4.244897959
S7,Root,Control,3,1,ABA,3.92244898
S7,Root,Control,3,2,ABA,3.326530612
S7,Root,Control,3,3,ABA,0.297254902
S7,Root,Control,3,4,ABA,1.831372549
S7,Root,Control,3,5,ABA,1.589473684
S7,Root,Control,3,6,ABA,6.192307692
S7,Root,Insect,3,1,ABA,16.50980392
S7,Root,Insect,3,2,ABA,31.08333333
S7,Root,Insect,3,3,ABA,20.12244898
S7,Root,Insect,3,4,ABA,32.20833333
S7,Root,Insect,3,5,ABA,24.32653061
S7,Root,Insect,3,6,ABA,18.76
S7,Root,Insect,3,7,ABA,29.57692308
S7,Root,Insect,3,8,ABA,11.72
C10,Leaf,Control,4,8,ABA,8.8
C10,Leaf,Control,4,9,ABA,8.653846154
C10,Leaf,Control,4,10,ABA,7.183673469
C10,Leaf,Insect,4,9,ABA,43.46153846
C10,Leaf,Insect,4,10,ABA,25.68
C10,Leaf,Insect,4,11,ABA,25.20754717
S16,Leaf,Control,3,8,ABA,3.776
S16,Leaf,Control,3,9,ABA,4.653846154
S16,Leaf,Control,3,10,ABA,10.96
S16,Leaf,Insect,3,9,ABA,32.73076923
S16,Leaf,Insect,3,10,ABA,35.67346939
S16,Leaf,Insect,3,11,ABA,22.31372549
C10,Leaf,Control,4,1,ABA,10.07692308
C10,Leaf,Control,4,2,ABA,5.727272727
C10,Leaf,Control,4,3,ABA,5.346153846
C10,Leaf,Control,4,4,ABA,11.5
C10,Leaf,Control,4,5,ABA,9.458333333
C10,Leaf,Control,4,6,ABA,10.32653061
C10,Leaf,Insect,4,1,ABA,42.4
C10,Leaf,Insect,4,2,ABA,29.10204082
C10,Leaf,Insect,4,3,ABA,40.76923077
C10,Leaf,Insect,4,4,ABA,28.32
C10,Leaf,Insect,4,5,ABA,23.02040816
C10,Leaf,Insect,4,6,ABA,36.32653061
C10,Leaf,Insect,4,7,ABA,31.46938776
C10,Leaf,Insect,4,8,ABA,23.91836735
C112,Leaf,Control,4,1,ABA,11.76
C112,Leaf,Control,4,2,ABA,15.26530612
C112,Leaf,Control,4,3,ABA,7.87755102
C112,Leaf,Control,4,4,ABA,10.52
C112,Leaf,Control,4,5,ABA,9
C112,Leaf,Control,4,6,ABA,11.88
C112,Leaf,Insect,4,1,ABA,17.2
C112,Leaf,Insect,4,2,ABA,22.66666667
C112,Leaf,Insect,4,3,ABA,36.96
C112,Leaf,Insect,4,4,ABA,31.12
C112,Leaf,Insect,4,5,ABA,22.19230769
C112,Leaf,Insect,4,6,ABA,34.6
C112,Leaf,Insect,4,7,ABA,41.6
S16,Leaf,Control,4,1,ABA,14.69230769
S16,Leaf,Control,4,2,ABA,9.416666667
S16,Leaf,Control,4,3,ABA,11.79166667
S16,Leaf,Control,4,5,ABA,13.05882353
S16,Leaf,Control,4,4,ABA,10.98039216
S16,Leaf,Control,4,6,ABA,8.769230769
S16,Leaf,Insect,4,1,ABA,19
S16,Leaf,Insect,4,2,ABA,15.70833333
S16,Leaf,Insect,4,3,ABA,39.09803922
S16,Leaf,Insect,4,4,ABA,23.36
S16,Leaf,Insect,4,5,ABA,18.74509804
S16,Leaf,Insect,4,6,ABA,20.23529412
S16,Leaf,Insect,4,7,ABA,18.23076923
S16,Leaf,Insect,4,8,ABA,NA
S7,Leaf,Control,4,1,ABA,9.183673469
S7,Leaf,Control,4,2,ABA,11.80769231
S7,Leaf,Control,4,3,ABA,8.16
S7,Leaf,Control,4,4,ABA,7.224489796
S7,Leaf,Control,4,5,ABA,8.653846154
S7,Leaf,Control,4,6,ABA,8.980392157
S7,Leaf,Insect,4,1,ABA,10.84
S7,Leaf,Insect,4,2,ABA,14.48
S7,Leaf,Insect,4,3,ABA,22.8
S7,Leaf,Insect,4,4,ABA,18.88461538
S7,Leaf,Insect,4,5,ABA,11.2244898
S7,Leaf,Insect,4,6,ABA,18.08333333
S7,Leaf,Insect,4,7,ABA,23.19230769
S7,Leaf,Insect,4,8,ABA,15.1372549
C10,Leaf,Control,3,10,ABA,10
C10,Leaf,Control,3,2,ABA,35.84615385
C10,Leaf,Control,3,3,ABA,11.34693878
C10,Leaf,Control,3,4,ABA,11.61538462
C10,Leaf,Control,3,5,ABA,13.875
C10,Leaf,Control,3,6,ABA,17.875
C10,Leaf,Insect,3,1,ABA,344.5833333
C10,Leaf,Insect,3,2,ABA,76.47058824
C10,Leaf,Insect,3,3,ABA,105.3061224
C10,Leaf,Insect,3,4,ABA,120.8333333
C10,Leaf,Insect,3,5,ABA,16.30769231
C10,Leaf,Insect,3,6,ABA,121.1764706
C10,Leaf,Insect,3,7,ABA,86.93877551
C10,Leaf,Insect,3,8,ABA,45.83333333
C112,Leaf,Control,3,1,ABA,26.90196078
C112,Leaf,Control,3,2,ABA,40
C112,Leaf,Control,3,3,ABA,11.5
C112,Leaf,Control,3,5,ABA,8.745098039
C112,Leaf,Control,3,4,ABA,19.02040816
C112,Leaf,Control,3,6,ABA,45
C112,Leaf,Insect,3,1,ABA,155.2
C112,Leaf,Insect,3,2,ABA,38.24489796
C112,Leaf,Insect,3,3,ABA,51.37254902
C112,Leaf,Insect,3,4,ABA,111.6666667
C112,Leaf,Insect,3,5,ABA,32.52
C112,Leaf,Insect,3,6,ABA,17.55102041
C112,Leaf,Insect,3,7,ABA,60.39215686
S16,Leaf,Control,3,1,ABA,14.8
S16,Leaf,Control,3,2,ABA,11.92
S16,Leaf,Control,3,3,ABA,11.10204082
S16,Leaf,Control,3,4,ABA,15.16666667
S16,Leaf,Control,3,5,ABA,7.730769231
S16,Leaf,Control,3,6,ABA,21.29166667
S16,Leaf,Insect,3,1,ABA,32.65384615
S16,Leaf,Insect,3,2,ABA,137.9591837
S16,Leaf,Insect,3,5,ABA,22.31372549
S16,Leaf,Insect,3,4,ABA,66.66666667
S16,Leaf,Insect,3,3,ABA,33.92156863
S16,Leaf,Insect,3,6,ABA,178.3673469
S16,Leaf,Insect,3,7,ABA,347.3076923
S16,Leaf,Insect,3,8,ABA,34.93877551
S7,Leaf,Control,3,1,ABA,17.41176471
S7,Leaf,Control,3,2,ABA,17.76470588
S7,Leaf,Control,3,3,ABA,8.93877551
S7,Leaf,Control,3,4,ABA,14.16
S7,Leaf,Control,3,5,ABA,8.653846154
S7,Leaf,Control,3,6,ABA,28.16326531
S7,Leaf,Insect,3,1,ABA,145.2
S7,Leaf,Insect,3,3,ABA,103.6734694
S7,Leaf,Insect,3,2,ABA,101.1538462
S7,Leaf,Insect,3,4,ABA,187.2
S7,Leaf,Insect,3,6,ABA,91.15384615
S7,Leaf,Insect,3,5,ABA,204.1666667
S7,Leaf,Insect,3,9,ABA,346.4
S7,Leaf,Insect,3,8,ABA,58.33333333
C112,Leaf,Insect,2,8,ABA,78.46153846
C10,Root,Control,2,8,JA,7.020408163
C10,Root,Control,2,9,JA,5.538461538
C10,Root,Control,2,10,JA,2.834615385
C10,Root,Insect,2,9,JA,4.461538462
C10,Root,Insect,2,10,JA,5.48
C10,Root,Insect,2,11,JA,6.431372549
S16,Root,Control,3,8,JA,8.285714286
S16,Root,Control,3,9,JA,15.05660377
S16,Root,Control,3,10,JA,7.769230769
S16,Root,Insect,3,9,JA,12.89795918
S16,Root,Insect,3,10,JA,27.33333333
S16,Root,Insect,3,11,JA,40
S16,Root,Insect,3,1,JA,8.28
S16,Root,Insect,3,2,JA,4.08
S16,Root,Insect,3,3,JA,3.961538462
S16,Root,Insect,3,4,JA,3.754166667
S16,Root,Insect,3,5,JA,4.692307692
S16,Root,Insect,3,6,JA,6.208333333
C10,Root,Control,2,1,JA,2.952
C10,Root,Control,2,2,JA,1.548
C10,Root,Control,2,3,JA,2.548
C10,Root,Control,2,4,JA,1.865384615
C10,Root,Control,2,5,JA,8.25
C10,Root,Control,2,6,JA,6.04
C10,Root,Insect,2,1,JA,18.79166667
C10,Root,Insect,2,2,JA,8.96
C10,Root,Insect,2,3,JA,13.80392157
C10,Root,Insect,2,4,JA,10.79166667
C10,Root,Insect,2,5,JA,4.44
C10,Root,Insect,2,6,JA,4.384615385
C10,Root,Insect,2,7,JA,4.44
C10,Root,Insect,2,8,JA,5.48
C112,Root,Control,2,1,JA,5.458333333
C112,Root,Control,2,2,JA,11.56
C112,Root,Control,2,4,JA,8.509803922
C112,Root,Control,2,3,JA,6.769230769
C112,Root,Control,2,5,JA,16.28
C112,Root,Control,2,6,JA,13.37254902
C112,Root,Insect,2,1,JA,18.44897959
C112,Root,Insect,2,2,JA,4.823529412
C112,Root,Insect,2,3,JA,7.041666667
C112,Root,Insect,2,4,JA,7.37254902
C112,Root,Insect,2,5,JA,7.142857143
C112,Root,Insect,2,6,JA,6.36
C112,Root,Insect,2,7,JA,11.15384615
S16,Root,Control,2,1,JA,3.561538462
S16,Root,Control,2,2,JA,5.291666667
S16,Root,Control,2,3,JA,7.5
S16,Root,Control,2,4,JA,3.11372549
S16,Root,Control,2,5,JA,6.68
S16,Root,Control,2,6,JA,8
S16,Root,Insect,2,1,JA,10.6
S16,Root,Insect,2,2,JA,8.769230769
S16,Root,Insect,2,3,JA,4.375
S16,Root,Insect,2,4,JA,2.211538462
S16,Root,Insect,2,5,JA,8.040816327
S16,Root,Insect,2,6,JA,8.93877551
S16,Root,Insect,2,7,JA,5
S16,Root,Insect,2,8,JA,NA
S7,Root,Control,2,1,JA,19.87755102
S7,Root,Control,2,2,JA,4.612244898
S7,Root,Control,2,3,JA,4.039215686
S7,Root,Control,2,4,JA,2.223076923
S7,Root,Control,2,5,JA,8.423076923
S7,Root,Control,2,6,JA,4.423076923
S7,Root,Insect,2,1,JA,8.423076923
S7,Root,Insect,2,2,JA,5.56
S7,Root,Insect,2,3,JA,2.552
S7,Root,Insect,2,4,JA,12.31372549
S7,Root,Insect,2,5,JA,6.833333333
S7,Root,Insect,2,6,JA,6.416666667
S7,Root,Insect,2,7,JA,6.081632653
S7,Root,Insect,2,8,JA,3.611764706
C10,Root,Control,3,10,JA,6.4
C10,Root,Control,3,2,JA,5.346153846
C10,Root,Control,3,3,JA,7.673469388
C10,Root,Control,3,4,JA,6.730769231
C10,Root,Control,3,5,JA,3.341666667
C10,Root,Control,3,6,JA,3.870588235
C10,Root,Insect,3,1,JA,3.979591837
C10,Root,Insect,3,2,JA,2.262745098
C10,Root,Insect,3,3,JA,4.775510204
C10,Root,Insect,3,5,JA,4
C10,Root,Insect,3,4,JA,7.576923077
C10,Root,Insect,3,6,JA,11.69230769
C10,Root,Insect,3,7,JA,5.115384615
C10,Root,Insect,3,8,JA,8.25
C112,Root,Control,3,1,JA,3.48627451
C112,Root,Control,3,2,JA,3.311538462
C112,Root,Control,3,3,JA,4.75
C112,Root,Control,3,4,JA,7.333333333
C112,Root,Control,3,5,JA,6.56
C112,Root,Control,3,6,JA,8.833333333
C112,Root,Insect,3,1,JA,2.776923077
C112,Root,Insect,3,2,JA,3.580769231
C112,Root,Insect,3,3,JA,5.346938776
C112,Root,Insect,3,4,JA,6.367346939
C112,Root,Insect,3,5,JA,6.901960784
C112,Root,Insect,3,6,JA,10.125
C112,Root,Insect,3,7,JA,8.375
S16,Root,Control,3,1,JA,18.53846154
S16,Root,Control,3,2,JA,9.755102041
S16,Root,Control,3,3,JA,6
S16,Root,Control,3,5,JA,6.62745098
S16,Root,Control,3,4,JA,14.625
S16,Root,Control,3,6,JA,7.083333333
S16,Root,Insect,3,1,JA,0.992156863
S7,Root,Control,3,1,JA,7.591836735
S7,Root,Control,3,2,JA,3.048979592
S7,Root,Control,3,3,JA,3.690196078
S7,Root,Control,3,4,JA,5.294117647
S7,Root,Control,3,5,JA,3.614035088
S7,Root,Control,3,6,JA,4.692307692
S7,Root,Insect,3,1,JA,7.333333333
S7,Root,Insect,3,2,JA,10.25
S7,Root,Insect,3,3,JA,1.889795918
S7,Root,Insect,3,4,JA,1.85
S7,Root,Insect,3,5,JA,0.779591837
S7,Root,Insect,3,6,JA,3.084
S7,Root,Insect,3,7,JA,1.742307692
S7,Root,Insect,3,8,JA,1.792
C112,Root,Insect,2,8,JA,3.94
C10,Leaf,Control,2,8,JA,0.432
C10,Leaf,Control,2,9,JA,0.403846154
C10,Leaf,Control,2,10,JA,0.955102041
C10,Leaf,Insect,2,9,JA,11.34615385
C10,Leaf,Insect,2,10,JA,9.68
